opportunity_id,opportunity_name,account_id,account_name,owner_name,department_raw,service_line,stage_raw,probability_raw,amount_raw,currency_raw,created_date_raw,expected_close_raw,actual_close_raw,loss_reason_raw,lead_source_raw,last_activity_raw,last_modified_raw,source_file,owner_email,forecast_category_rep,crm_version
OPP-590,Noord Authority - Data Platform Modernisation,ACC-10427,Noord Authority plc,Niamh Walsh,Data & AI,Data Platform Modernisation,proposal/quote,85,"£121,900",GBP,2024-08-02,2025-03-03,,,Inbound - Website,2025-01-31,2025-01-26 10:19:07,opps_2024_10,,,v1
OPP-708,Kronberg Connect - AI & GenAI Solutions,ACC-10689,Kronberg Connect Ltd,Ethan Clarke,Data & AI,AI & GenAI Solutions,Closed - Lost,0,131000,GBP,2024-08-31,2024-12-23,2024-11-05,Not qualified,Outbound - SDR,2024-11-05,2024-11-05 17:00:00,opps_2024_10,,,v1
OPP-468,Meridian Agency - SAP S/4HANA Implementation,ACC-10424,Meridian Agency SA,Camille Bernard,ERP & Business Apps,,Closed Lost,0%,839000,EUR,2024-07-11,2025-03-04,2024-11-21,,Partner Referral,2024-11-21,2024-11-21 17:00:00,opps_2024_10,,,v1
OPP-36,Ysolde Precision - DevOps & Platform Engineering,ACC-10447,Ysolde Precision Sp. z o.o.,"Novák, Tomáš",Cloud & Infra,DevOps & Platform Engineering,Closed - Lost,0%,373000,PLN,2024-04-08,2024-09-16,2024-11-30,Timing / Postponed,Partner Referral,2024-11-30,2024-11-30 18:27:24,opps_2024_10,,,v1
OPP-428,Aurora Brands - Data Platform Modernisation,ACC-10721,Aurora Brands S.r.l.,Marco Rossi,Data and AI,Data Platform Modernisation,Closed Lost,0,305500,EUR,2024-07-01,2024-10-26,2024-12-04,Lost to Competitor,Website,2024-12-04,2024-12-04 17:00:00,opps_2024_10,,,v1
OPP-507,Iberia Agency - Data Platform Modernisation,ACC-10008,Iberia Agency S.A.,"Rossi, Marco",DATA & AI,Data Platform Modernisation,Proposal,85%,312500,EUR,2024-07-17,2024-12-20,,,Outbound - SDR,2026-01-20,2026-01-20 17:00:00,opps_2024_10,,,v1
OPP-159,Invicta Capital - Application Support,ACC-10636,Invicta Capital Ltd,Grace Thompson,ERP,Application Support,Closed - Lost,0,50400,GBP,2024-05-04,2024-09-23,2024-05-22,No Decision / Stalled,Inbound - Website,2024-05-22,2024-05-22 17:00:00,opps_2024_10,,,v1
OPP-824,Aurora Stores - AI & GenAI Solutions,ACC-10276,Aurora Stores S.r.l.,Marco Rossi,Data and AI,AI & GenAI Solutions,Closed Lost,0,101500,,2024-09-25,2025-02-13,2025-02-22,Price,Outbound - SDR,2025-02-22,2025-02-22 17:00:00,opps_2024_10,,,v1
OPP-551,Riviera Public Services - Data Platform Modernisation,ACC-10099,Riviera Public Services S.p.A.,Marco Rossi,DATA & AI,Data Platform Modernisation,5 - Closed Won,100,333500,EUR,2024-07-25,2025-03-23,2025-02-07,,Hyperscaler Co-sell,07/02/2025,2025-02-07 17:00:00,opps_2024_10,,,v1
OPP-22,Silverline Automotive - DevOps & Platform Engineering,ACC-10225,Silverline Automotive S.A.,Tomáš Novák,Cloud & Infrastructure,DevOps & Platform Engineering,Closed Lost,0,1 260 300,PLN,2024-04-06,2024-07-12,2024-06-02,No Budget,Hyperscaler Co-sell,02/06/2024,2024-06-02 21:09:46,opps_2024_10,,,v1
OPP-390,Umbria Institute - DevOps & Platform Engineering,ACC-10452,UMBRIA INSTITUTE SE,Lukas Schneider,Cloud and Infrastructure,DevOps & Platform Engineering,Closed - Lost,0%,56500.00,EUR,2024-06-22,2025-03-04,2024-11-14,No Budget,Partner Referral,2024-11-14,2024-11-14 19:00:50,opps_2024_10,,,v1
OPP-670,Orion Industries - Analytics & BI,ACC-10253,Orion Industries S.L.,Marco Rossi,Data & AI,Analytics & BI,Closed Lost,0,29500,EUR,2024-08-21,2025-03-31,2024-10-25,No Decision / Stalled,Inbound - Website,2024-10-25,2024-10-25 17:00:00,opps_2024_10,,,v1
